,0
ALTNY.IS,0.0064382969538335074
ANHYT.IS,0.004681827555790278
IEYHO.IS,0.004503715101108746
MPARK.IS,0.004285873743441142
LIDER.IS,0.004208884981599285
TAVHL.IS,0.003979211159979262
CLEBI.IS,0.003760049888251369
PASEU.IS,0.003714764586043653
NTHOL.IS,0.0036047145645563823
ENERY.IS,0.003577390321172466
GARAN.IS,0.003505590948870076
MAGEN.IS,0.0032511112490438616
TKFEN.IS,0.003071221728877601
EKGYO.IS,0.0030463846698751593
BSOKE.IS,0.0029824883263789444
AKBNK.IS,0.0029060874922415022
TURSG.IS,0.0029038451402906185
VAKBN.IS,0.0026969727382930345
TSKB.IS,0.0026848412661046542
GOLTS.IS,0.0026526079366145706
BIMAS.IS,0.0026281529172840243
GUBRF.IS,0.0025784470558592202
KOZAA.IS,0.002576445586260069
TTKOM.IS,0.0025537688312394255
AKSA.IS,0.002411576057074627
ANSGR.IS,0.002360528072873695
YKBNK.IS,0.0023366306940913934
ARDYZ.IS,0.002300904014711908
SAHOL.IS,0.0022746986687515167
OYAKC.IS,0.002260753188951849
VESTL.IS,0.002249312449800217
MGROS.IS,0.002234142239578826
ISMEN.IS,0.0022260964905839588
TCELL.IS,0.0021956085033937593
CIMSA.IS,0.002175207866059522
PGSUS.IS,0.0020277219546417495
ASELS.IS,0.0020128744037858554
AGHOL.IS,0.001983176712117735
MAVI.IS,0.0019772572308621498
KARSN.IS,0.0019207704591967898
ISCTR.IS,0.0018991627954752855
ENKAI.IS,0.001869710257386049
TMSN.IS,0.00183788889377208
ULKER.IS,0.00178634857457485
AEFES.IS,0.0017626467902555657
HALKB.IS,0.0015635520508376947
SELEC.IS,0.0015188840388257615
BERA.IS,0.0014694228034159071
AKFYE.IS,0.0014678560780475012
AKSEN.IS,0.0014395296177586215
TABGD.IS,0.0012943594409651857
KCHOL.IS,0.0012859387412326392
ENJSA.IS,0.00127611199350136
FROTO.IS,0.0012556480592526144
DOHOL.IS,0.0012374346433914661
KCAER.IS,0.001210077366635819
BTCIM.IS,0.0009921954728789764
MIATK.IS,0.000987066819940953
SKBNK.IS,0.000912909186989695
OTKAR.IS,0.000870347708924706
KOZAL.IS,0.0008701298350182923
THYAO.IS,0.0008661586065832132
TTRAK.IS,0.000845618960875442
EREGL.IS,0.000823988322621426
ASTOR.IS,0.0007695975828835009
ECILC.IS,0.0007063091739960971
ARCLK.IS,0.0006556092921077149
TUPRS.IS,0.0006182736104824834
KRDMD.IS,0.0005912976351695612
AGROT.IS,0.0005370762026907621
ZOREN.IS,0.0003286588215709457
TOASO.IS,0.00030946196051593304
TUKAS.IS,0.00025071184539542145
ALARK.IS,0.0002443361347008092
YEOTK.IS,0.00017646265428265402
PETKM.IS,0.00016681382750631792
EGEEN.IS,9.865627168566886e-05
CVKMD.IS,9.74611809763292e-06
KONYA.IS,5.412039569516908e-06
SASA.IS,-9.269718747534797e-05
SISE.IS,-0.0002053229675774198
DOAS.IS,-0.000249012748602162
BRYAT.IS,-0.00025297302001055683
ALFAS.IS,-0.0005511956226812084
SDTTR.IS,-0.0006182877111707711
FENER.IS,-0.0006300013360511324
SOKM.IS,-0.0006516598618522292
REEDR.IS,-0.0010089053688063523
CANTE.IS,-0.0010413587488889123
ODAS.IS,-0.0010592913578137862
TSPOR.IS,-0.0012072676661542422
BRSAN.IS,-0.0012106560498232055
GESAN.IS,-0.0013207051448271498
SMRTG.IS,-0.001327081780445268
CWENE.IS,-0.0014921808465980665
KONTR.IS,-0.0018148516605343847
EUPWR.IS,-0.0018269909331100043
KLSER.IS,-0.002099672364044028
CCOLA.IS,-0.002502037335686837
HEKTS.IS,-0.004730857290891137
