,0
CCOLA.IS,0.062403775643819756
BSOKE.IS,0.0610998747173771
FENER.IS,0.05444037728298083
HEKTS.IS,0.048822638275924264
AGROT.IS,0.04641160297280497
ALTNY.IS,0.04577378381313399
REEDR.IS,0.04540675523418568
MIATK.IS,0.039023342501553746
IEYHO.IS,0.03868276213373076
TSPOR.IS,0.03748421789888027
CVKMD.IS,0.03664050351745184
KARSN.IS,0.036418787804057814
MAGEN.IS,0.03632425447887538
GOLTS.IS,0.03583782081300559
TMSN.IS,0.03513455291349215
ARDYZ.IS,0.03512447857630328
YEOTK.IS,0.035003810866891936
KCAER.IS,0.033629012747160146
NTHOL.IS,0.03354224794593454
CLEBI.IS,0.03309174155677487
VESTL.IS,0.033006951736086226
KONTR.IS,0.03289495275919132
ANHYT.IS,0.032450227475630665
PASEU.IS,0.03230291139071944
BRYAT.IS,0.03145358186088884
BERA.IS,0.031340951635284116
SDTTR.IS,0.031273734599645685
EGEEN.IS,0.030891249068986486
KONYA.IS,0.030853337832660123
GUBRF.IS,0.0301356456776466
ALFAS.IS,0.030124166046611334
BRSAN.IS,0.03011883202017439
CWENE.IS,0.030079640781527552
EKGYO.IS,0.02984692554708063
KLSER.IS,0.029424995281611764
SKBNK.IS,0.029389127058578428
ULKER.IS,0.02920173227577935
AKBNK.IS,0.029085220793832686
AKFYE.IS,0.028820554767407486
MPARK.IS,0.02877332379381917
YKBNK.IS,0.02837578960155301
BTCIM.IS,0.028341787183776643
SELEC.IS,0.02810446108116564
AEFES.IS,0.028084580029586234
KOZAA.IS,0.02792788736762722
EUPWR.IS,0.027617203777085087
LIDER.IS,0.027558908398177224
GESAN.IS,0.027407566239526893
TKFEN.IS,0.027386146681656134
ANSGR.IS,0.027300822799636148
ENERY.IS,0.027261709959059702
SASA.IS,0.027112195650399316
KOZAL.IS,0.02700154168894816
VAKBN.IS,0.026850847256743828
HALKB.IS,0.026758726932426452
ECILC.IS,0.02641656755422619
ISMEN.IS,0.026349569716359492
AGHOL.IS,0.02625308674657347
ZOREN.IS,0.026127350511776625
ASTOR.IS,0.02606651407891164
AKSA.IS,0.025798305726885972
ODAS.IS,0.025256299944085344
MAVI.IS,0.02523949809367772
TTKOM.IS,0.025182429561820253
ISCTR.IS,0.0251130446711648
TURSG.IS,0.02509284764343129
TABGD.IS,0.025006672244648143
OYAKC.IS,0.024795658760895574
GARAN.IS,0.024740580696610576
CIMSA.IS,0.024718355694192767
TSKB.IS,0.02461582738981139
KRDMD.IS,0.024480710101567497
TUKAS.IS,0.024441332707167134
SAHOL.IS,0.02433114144927719
SMRTG.IS,0.02433090032254544
PETKM.IS,0.024225079201497076
OTKAR.IS,0.023858382465019933
BIMAS.IS,0.023629959109897555
TOASO.IS,0.023424894045112585
CANTE.IS,0.022806025620873954
AKSEN.IS,0.022502850555033465
ARCLK.IS,0.022415084271770025
ASELS.IS,0.02238451434903374
ENKAI.IS,0.02235223027710755
PGSUS.IS,0.02230376594082107
ALARK.IS,0.022254164448074678
SOKM.IS,0.022208955195880897
MGROS.IS,0.022075111176029078
DOAS.IS,0.0218392529833216
DOHOL.IS,0.021767171504304586
KCHOL.IS,0.021741834218767537
FROTO.IS,0.021723563926500013
TAVHL.IS,0.021146807739238552
ENJSA.IS,0.020872014791847884
TCELL.IS,0.020856175608299554
EREGL.IS,0.019757403003687043
TTRAK.IS,0.018947563496486682
THYAO.IS,0.018496766541792303
SISE.IS,0.01829243587838267
TUPRS.IS,0.016731015236463264
